model,MAE,RMSE,R2
Random Forest (noisy),0.010301298490899535,0.015263029537949212,0.8084597645833655
XGBoost (noisy),0.018066933932644174,0.02749043808487009,0.3786420647322124
Hybrid RF + GPR,0.010297892546157277,0.015274888163545379,0.8081620142163752
BiLSTM + Attention (SoH),0.02677268348634243,0.03108788232904491,0.2119811773300171
EKF (physics baseline),0.1112273729744857,0.11791765777637479,0.6212804174556568
BiLSTM + Attention (SoC),0.052100636065006256,0.06594147792789895,0.8765358328819275
